Genus_and_species,superkingdom,phylum,class,order,family,genus,GC_genome,genome_size,GC_16SrRMA,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Trange
Actinomyces glycerinitolerans,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,68.5,,59.7,25,30,,,45,20
Actinomyces qiguomingii,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,66.8,4,59.3,28,37,,,42,14
Actinomyces timonensis,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,,,61,25,37,,,37,12
Actinomyces culturomici,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,,,,28,30,,,37,9
Actinomyces haliotis,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,70.4,,59.7,20,30,,,37,17
Actinomycetospora endophytica,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,73.2,,59.7,15,22.5,20,25,30,15
Actinomycetospora rishiriensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,73.1,,59.7,10,30,,,30,20
Actinophytocola xanthii,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,71.7,,58.3,15,28,,,37,22
Actinophytocola gilvus,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,70.1,,58.1,10,28,,,37,27
Actinophytocola timorensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,69.7,,58.5,15,26.5,25,28,37,22
Actinophytocola glycyrrhizae,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,70.2,,58.3,15,28,,,30,15
Actinophytocola sediminis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,68.2,,58.6,10,25,,,30,20
Actinophytocola xinjiangensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,72.5,,58.3,10,27.5,25,30,30,20
Actinophytocola oryzae,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,71.1,,58.9,12,23,18,28,30,18
Actinophytocola corallina,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,71.2,,58.2,15,26.5,25,28,28,13
Actinoplanes lobatus,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,,,59.3,18,25,,,45,27
Actinoplanes digitatis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,73,,59.6,18,25,,,45,27
Actinoplanes siamensis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,72,,59.5,25,27.5,25,30,40,15
Actinoplanes lichenis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,73.6,,60.1,17,27,20,34,38,21.5
Actinoplanes rishiriensis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,71.2,,59.9,20,30,,,37,17
Actinoplanes ianthinogenes,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,71.5,,59.3,15,32.5,28,37,37,22
Actinoplanes subglobosus,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,71.5,,59.8,20,27.5,25,30,37,17
Actinoplanes luteus,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,71.9,,59.9,20,27.5,25,30,37,17
Actinoplanes abujensis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,70.2,,60.1,20,27.5,25,30,37,17
Actinoplanes rectilineatus,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,69,,59.5,10,25.5,23,28,37,27
Actinoplanes rhizophilus,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,,,59.7,15,28,,,35,20
Actinoplanes campanulatus,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,71,,59.2,18,25,,,35,17
Actinoplanes regularis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,72.3,,59.5,18,25,,,35,17
Actinoplanes hulinensis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,67.9,,59.5,18,28,,,32,14
Actinoplanes missouriensis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,,8.8,59.9,15,28,,,32,17
Actinopolymorpha rutila,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Actinopolymorpha,67.7,,58.2,15,28,,,37,22
Actinopolyspora mortivallis,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,68,,61.9,10,45,,,50,40
Actinopolyspora xinjiangensis,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,68.9,,60.8,25,37,,,50,25
Actinopolyspora alba,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,68.3,,60,25,37,,,45,20
Actinopolyspora erythraea,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,68.8,5.2,60.1,25,37,,,45,20
Actinopolyspora egyptensis,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,,,60,10,30,,,45,35
Actinopolyspora halophila,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,66,,60.8,10,37,,,43,33
Actinopolyspora salinaria,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,69.9,,60.5,22,37,,,41,19
Actinopolyspora lacussalsi,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,66.4,,59.8,25,35,,,40,15
Actinopolyspora algeriensis,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,,,60.4,25,30,,,40,15
Actinopolyspora mzabensis,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,64.2,,60.1,25,30,,,40,15
Actinopolyspora biskrensis,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,,,60.8,20,30,,,37,17
Actinopolyspora saharensis,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,66.5,,60.7,20,30,28,32,35,15
Actinorectispora metalli,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinorectispora,66.8,,58.7,10,28,,,45,35
Actinorectispora indica,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinorectispora,68,,59.4,15,28,,,28,13
Actinospica durhamensis,Bacteria,Actinobacteria,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,68,,60.3,15,28,,,33,18
Actinospica acidiphila,Bacteria,Actinobacteria,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,69.2,,60.3,17,28,,,33,16
Actinospica robiniae,Bacteria,Actinobacteria,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,70.8,,60.2,17,25,22,28,33,16
Actinotalea caeni,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Actinotalea,74.8,,57.5,10,30,,,55,45
Actinotalea solisilvae,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Actinotalea,72.4,,58.7,10,29,28,30,40,30
Acuticoccus yangtzensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Acuticoccus,51.5,,55.4,15,35,,,50,35
Acuticoccus kandeliae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Acuticoccus,68.5,,55.4,20,27.5,25,30,30,10
Adhaeribacter aquaticus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,40,,50.9,4,30,,,37,33
Adhaeribacter swui,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,45.9,,52.9,18,28,,,37,19
Adhaeribacter terreus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,48.1,,52.7,16,28,,,33,17
Adhaeribacter terrae,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,44,,52.6,15,25,,,30,15
Advenella alkanexedens,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,51.2,,54.3,4,32.5,30,35,52,48
Advenella faeciporci,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,49.5,,54.2,10,30,25,35,45,35
Vitellibacter aquimaris,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,40.6,,54.3,4,37,,,43,39
Aequorivita vladivostokensis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,41.3,,53.9,4,28,,,43,39
Vitellibacter todarodis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,41.6,,54.7,4,32.5,30,35,40,36
Aequorivita soesokkakensis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,38.9,,53.4,10,30,,,37,27
Aequorivita nionensis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,36.7,,53.2,10,30,,,37,27
Aequorivita crocea,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,33.5,,52.9,-2,20,,,25,27
Aequorivita lipolytica,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,35.5,,53.4,-2,20,,,25,27
Aequorivita antarctica,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,38.5,,52.6,-2,20,,,25,27
Aequorivita sublithincola,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,36.2,3.5,52.3,-2,20,,,25,27
Aeribacillus composti,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Aeribacillus,40.5,,57,50,60,,,65,15
Aeriscardovia aeriphila,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Aeriscardovia,54.7,,60.3,30,37,,,46,16
Aeromicrobium camelliae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,66,,58.6,15,33.5,30,37,50,35
Aeromicrobium massiliense,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,72.5,,58.2,25,31,25,37,45,20
Aeromicrobium tamlense,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,72.7,,58.3,10,30,,,42,32
Aeromicrobium halocynthiae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,75.9,,58.5,10,25,,,42,32
Aeromicrobium ponti,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,74,,58.2,4,33.5,30,37,42,38
Aeromicrobium erythreum,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,72.1,3.6,58.8,21,35,,,40,19
Aeromicrobium choanae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,70.8,,58.3,8,30,29,31,39,31
Aeromicrobium flavum,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,73.3,,57.7,25,30,,,37,12
Aeromicrobium alkaliterrae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,71.5,,57.8,4,25,,,35,31
Aeromicrobium marinum,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,70.6,,57.4,4,25,,,35,31
Aeromicrobium ginsengisoli,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,66.8,,57.4,4,30,,,30,26
Aeromicrobium panaciterrae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,65.5,,57.6,15,30,,,30,15
Aeromicrobium fastidiosum,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,71.5,,57.6,5,25,,,30,25
Aeromonas eucrenophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,61.2,,55.5,0,30,,,37,37
Aeromonas media,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,60.7,4.8,55.4,4,22,,,37,33
Aeromonas piscicola,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,55.8,4,27.5,25,30,37,33
Aeromonas molluscorum,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,59.2,,55.2,4,27.5,25,30,37,33
Aeromonas finlandiensis,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,55.7,15,30,,,30,15
Aeromonas aquatica,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,55.8,15,30,,,30,15
Aeromonas lacus,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,55.7,15,30,,,30,15
Aeropyrum pernix,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,56.3,1.7,67.7,70,92.5,,,100,30
Aeropyrum camini,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,56.7,1.6,65.8,70,85,,,97,27
Aestuariibaculum scopimerae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aestuariibaculum,39,,49.9,10,27.5,25,30,42,32
Aestuariibaculum suncheonense,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aestuariibaculum,46.4,,50.4,5,27.5,25,30,40,35
Aestuariibaculum marinum,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aestuariibaculum,37.4,,50.8,4,30,,,37,33
Aestuariibius insulae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aestuariibius,61.6,,55.3,10,27.5,25,30,30,20
Aestuariicella hydrocarbonica,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,,Aestuariicella,47.5,,53.1,10,22.5,20,25,37,27
Aestuariicoccus marinus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aestuariicoccus,56,,55.4,15,37,,,40,25
Aestuariihabitans beolgyonensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aestuariihabitans,62.7,,55,4,30,,,35,31
Aestuariimicrobium kwangyangense,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Aestuariimicrobium,69,,57.9,4,30,,,40,36
Aestuariispira insulae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Aestuariispira,56,,55.1,15,30,,,37,22
Aestuariivita boseongensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aestuariivita,62.2,,55.4,15,30,,,40,25
Aestuariivivens insulae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aestuariivivens,37,,52.6,10,35,,,40,30
Agaribacter marinus,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agaribacter,41.8,,52.4,4,26.5,25,28,30,26
Agaribacterium haliotis,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agaribacterium,50.5,,53.6,16,29,28,30,40,24
Agaricicola taiwanensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Agaricicola,62.7,,55.6,20,32.5,30,35,40,20
Agarilytica rhodophyticola,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agarilytica,41,7.1,53.7,15,30.5,28,33,40,25
Agarivorans gilvus,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans,46,4.4,53.1,10,30,28,32,45,35
Agarivorans litoreus,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans,45.3,,53,4,30,,,37,33
Agarivorans aestuarii,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans,44,,52.7,10,25,,,30,20
Agathobacter ruminis,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,41.8,,53.4,25,37,35,39,45,20
Agathobaculum butyriciproducens,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,52.9,,53.8,30,37,,,40,10
Agathobaculum desmolans,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,48.5,,53.1,35,37,,,40,5
Agrococcus terreus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agrococcus,75.9,,56.6,20,30,,,40,20
Agrococcus carbonis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agrococcus,73.8,,56.1,15,30,,,37,22
Agrococcus jejuensis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agrococcus,73,,56.6,10,30,,,37,27
Agrococcus lahaulensis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agrococcus,74.1,,56.3,25,30,,,37,12
Agromyces flavus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,70.9,,57,10,30,28,32,40,30
Agromyces indicus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,71.8,,56.7,10,29,28,30,40,30
Agromyces arachidis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,,,56.4,25,30,,,37,12
Agromyces ramosus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,68.9,,56.8,20,30,,,37,17
Agromyces insulae,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,71.6,,56.8,10,28,,,37,27
Agromyces marinus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,72.5,,57.2,10,28,,,37,27
Agromyces subtropicus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,71.7,,57,10,28,,,37,27
Agromyces subbeticus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,71.2,,56,6,28,,,37,31
Agromyces lapidis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,70.4,,56.5,15,28,,,37,22
Agromyces humatus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,70.6,,57,15,28,,,37,22
Agromyces italicus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,70.8,,56.5,10,28,,,37,27
Agromyces neolithicus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,65.3,,56.9,15,28,,,37,22
Agromyces iriomotensis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,72.9,,56.7,20,25,,,37,17
Agromyces bauzanensis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,69.7,,57.5,1,27.5,25,30,37,36
Agromyces albus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,69,,56.2,7,27,26,28,37,30
Agromyces binzhouensis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,69.6,,56.9,12,28,,,36,24
Agromyces terreus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,71.1,,57.1,10,25,,,35,25
Agromyces allii,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,71.2,,56.7,4,30,,,33,29
Agromyces aureus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,70.4,4.4,56.8,10,28,,,30,20
Agromyces soli,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,73.4,,56.6,10,25,,,30,20
Ahniella affigens,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Ahniella,60.5,6.1,55.8,15,30,,,35,20
Ahrensia kielensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ahrensia,48.1,,54.1,4,32,,,37,33
Ahrensia marina,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ahrensia,50.1,,54.7,10,28,,,37,27
Aidingimonas halophila,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Aidingimonas,57.5,,57.7,10,37,,,45,35
Aidingimonas lacisalsi,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Aidingimonas,58.1,,57.3,13,36,35,37,41,28
Akkermansia glycaniphila,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,57.6,3.1,55.9,15,27.5,25,30,40,25
Albidovulum xiamenense,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albidovulum,70.6,,57,28,54,50,58,65,37
Albimonas pacifica,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albimonas,69,,57.5,0,30,,,40,40
Albimonas donghaensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albimonas,72,,56.3,10,29,28,30,38,28
Albirhodobacter marinus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albirhodobacter,63,,53.4,30,30,,,37,7
Albirhodobacter confluentis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albirhodobacter,69.3,,53.5,10,25,,,30,20
Alcaligenes pakistanensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,55.5,,53.7,10,29,25,33,37,27
Alcaligenes aquatilis ,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,56,,53,4,21,18,24,35,31
Alcanivorax dieselolei,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,61.6,4.9,55.8,15,28,,,45,30
Alcanivorax gelatiniphagus,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,65.2,,56.3,15,38.5,37,40,43,28
Alcanivorax marinus,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,66.1,,56.1,10,28,,,42,32
Alcanivorax hongdengensis,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,54.7,,54.9,10,26.5,18,35,42,32
Alcanivorax pacificus,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,62.6,4.2,56,10,26.5,25,28,42,32
Alcanivorax nanhaiticus,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,56.4,,54.6,4,28,,,41,37
Alcanivorax xenomutans,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,61.5,4.7,56.1,25,30,,,40,15
Alcanivorax jadensis,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,63.6,,54.5,10,30,,,40,30
Alcanivorax balearicus,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,62.8,,55.8,4,28,,,37,33
Alcanivorax borkumensis,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,54.7,3.1,54.6,10,27.5,25,30,35,25
Algibacter alginicilyticus,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algibacter,31.8,4,50,4,28,,,55,51
