Genus_and_species,superkingdom,phylum,class,order,family,genus,GC_genome,genome_size,GC_16SrRMA,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Trange
Actinomadura keratinilytica,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,73.7,,59.6,30,45,,,55,25
Actinomadura fibrosa,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,,,59.7,20,37,,,45,25
Actinomadura alkaliterrae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,,,59.1,25,30,,,45,20
Actinomadura geliboluensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,70.8,,59.8,20,30,,,45,25
Actinomadura madurae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,67.1,,59.7,10,32.5,28,37,45,35
Actinomadura hankyongense,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,73.1,,59.6,18,30,,,42,24
Actinomadura jiaoheensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,,,59.6,15,28,,,42,27
Actinomadura sporangiiformans,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,67.6,,59.7,20,28,,,42,22
Actinomadura rupiterrae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,70.9,,60,20,39.5,37,42,42,22
Actinomadura atramentaria,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,72,,60.3,15,32.5,28,37,42,27
Actinomadura rhizosphaerae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,73.1,,59.9,20,33.5,30,37,40,20
Actinomadura gamaensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,67.1,,59.8,15,28,,,40,25
Actinomadura adrarensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,,,59.5,25,30,,,37,12
Actinomadura roseirufa,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,72.5,,59.8,15,28,,,37,22
Actinomadura flavalba,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,71.1,,59.6,15,28,,,37,22
Actinomadura coerulea,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,67,,59.8,10,29,28,30,37,27
Actinomadura citrea,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,67.6,,59.6,10,29,28,30,37,27
Actinomyces ruminicola,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,66,,60.1,20,46,,,55,35
Actinomyces succiniciruminis,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,69.8,,59.8,25,37,,,45,20
